=== SYSTEM ACCOUNTS ===
admin | Admin@123 | admin | N/A
coordinator | Coord@123 | coordinator | BCA
faculty_a | Pass@123 | supervisor | BCA
faculty_b | Pass@123 | supervisor | BCA
faculty_c | Pass@123 | supervisor | MCA
faculty_d | Pass@123 | supervisor | MCA
student_1 | Pass@123 | student | BCA
student_2 | Pass@123 | student | BCA
student_3 | Pass@123 | student | BCA
student_4 | Pass@123 | student | BCA
student_5 | Pass@123 | student | BCA
student_6 | Pass@123 | student | BCA
student_7 | Pass@123 | student | MCA
student_8 | Pass@123 | student | MCA
student_9 | Pass@123 | student | MCA
student_10 | Pass@123 | student | MCA
student_11 | Pass@123 | student | MCA
student_12 | Pass@123 | student | MCA
